id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
"2022-535701","2022-06-14","1","Vente","22000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1003","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373428","48.860671","000BB"
"2022-534886","2022-06-01","1","Vente","575000.0","66","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0007","None","None","22","nan","53","nan","None","nan","None","None","None","None","2","2","Appartement","53.0","3","None","None","None","None","None","2.373389","48.861394","000BB"
"2022-534886","2022-06-01","1","Vente","575000.0","66","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0007","None","None","22","nan","53","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373389","48.861394","000BB"
"2022-532939","2022-05-16","1","Vente","210000.0","4","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0016","None","None","21","21.09","None","nan","None","nan","None","None","None","None","1","2","Appartement","20.0","2","None","None","None","None","None","2.374909","48.860534","000BB"
"2022-532457","2022-04-20","1","Vente","456600.0","13","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0021","None","None","43","nan","5","nan","None","nan","None","None","None","None","2","2","Appartement","38.0","2","None","None","None","None","None","2.374937","48.860161","000BB"
"2022-532457","2022-04-20","1","Vente","456600.0","13","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0021","None","None","43","nan","5","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.374937","48.860161","000BB"
"2022-530470","2022-04-06","1","Vente","15000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","637","12.0","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-530802","2022-04-05","1","Vente","35000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","731","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-530032","2022-03-30","1","Vente","26000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","732","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-530547","2022-03-24","1","Vente","360000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","308","nan","329","31.25","None","nan","None","None","None","None","2","2","Appartement","28.0","2","None","None","None","None","None","2.373543","48.861201","000BB"
"2022-530547","2022-03-24","1","Vente","360000.0","70","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0008","None","None","308","nan","329","31.25","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373543","48.861201","000BB"
"2022-529518","2022-03-22","1","Vente","746000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","313","66.86","329","nan","None","nan","None","None","None","None","2","2","Appartement","68.0","4","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-529517","2022-03-22","1","Vente","23500.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","443","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-529518","2022-03-22","1","Vente","746000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","313","66.86","329","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2022-528564","2022-02-25","1","Vente","20000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1166","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373428","48.860671","000BB"
"2022-527357","2022-02-17","1","Vente","524690.0","61","None","RUE POPINCOURT","7626","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0018","None","None","108","44.65","None","nan","None","nan","None","None","None","None","1","2","Appartement","39.0","2","None","None","None","None","None","2.375142","48.860339","000BB"
"2022-527357","2022-02-17","1","Vente","524690.0","61","None","RUE POPINCOURT","7626","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0018","None","None","108","44.65","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.375142","48.860339","000BB"
"2022-527367","2022-02-10","1","Vente","30000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1244","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373428","48.860671","000BB"
"2022-526141","2022-01-26","1","Vente","383000.0","62","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0004","None","None","10","nan","None","nan","None","nan","None","None","None","None","1","2","Appartement","35.0","1","None","None","None","None","None","2.373182","48.86168","000BB"
"2022-527437","2022-01-26","1","Vente","534000.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","127","nan","62","55.34","None","nan","None","None","None","None","2","2","Appartement","55.0","3","None","None","None","None","None","2.374524","48.860055","000BB"
"2022-526141","2022-01-26","1","Vente","383000.0","62","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0004","None","None","10","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373182","48.86168","000BB"
"2022-527437","2022-01-26","1","Vente","534000.0","7","None","RUE DE L ASILE POPINCOURT","0497","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0024","None","None","127","nan","62","55.34","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.374524","48.860055","000BB"
"2022-525664","2022-01-14","1","Vente","360000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1055","nan","1095","32.8","None","nan","None","None","None","None","2","2","Appartement","32.0","1","None","None","None","None","None","2.373428","48.860671","000BB"
